Artform,Year,Income,Age,Education
Musical,1982,41,37,3
Play,1982,41,37,3
Art Museum,1982,41,37,3
Play,1982,3,35,4
Art Museum,1982,3,35,4
Jazz,1982,0,28,5
Musical,1982,0,28,5
Play,1982,0,28,5
Art Museum,1982,0,28,5
Jazz,1982,25,30,5
Classical,1982,25,30,5
Opera,1982,25,30,5
Play,1982,25,30,5
Art Museum,1982,25,30,5
Art Museum,1982,22,27,3
Musical,1982,7,57,2
Musical,1982,7,62,2
Classical,1982,0,51,5
Musical,1982,0,51,5
Play,1982,0,51,5
Art Museum,1982,0,51,5
Classical,1982,0,50,4
Musical,1982,0,50,4
Play,1982,0,50,4
Art Museum,1982,0,50,4
Musical,1982,0,78,3
Play,1982,17,49,3
Play,1982,17,48,4
Art Museum,1982,17,48,4
Art Museum,1982,17,22,4
Classical,1982,6,75,4
Musical,1982,7,51,1
Musical,1982,17,48,4
Musical,1982,17,45,4
Musical,1982,23,76,5
Musical,1982,23,83,3
Classical,1982,41,53,5
Opera,1982,41,53,5
Musical,1982,41,53,5
Play,1982,41,53,5
Art Museum,1982,41,53,5
Classical,1982,41,55,5
Opera,1982,41,55,5
Musical,1982,41,55,5
Play,1982,41,55,5
Art Museum,1982,41,55,5
Classical,1982,41,50,4
Art Museum,1982,41,50,4
Classical,1982,41,45,4
Art Museum,1982,41,45,4
Musical,1982,7,41,3
Play,1982,7,41,3
Musical,1982,7,39,3
Play,1982,7,39,3
Art Museum,1982,7,30,4
Musical,1982,41,56,2
Musical,1982,41,56,3
Jazz,1982,23,68,4
Play,1982,6,64,6
Classical,1982,0,27,6
Art Museum,1982,0,27,6
Art Museum,1982,25,28,3
Classical,1982,6,46,3
Classical,1982,41,54,5
Musical,1982,41,54,5
Art Museum,1982,41,54,5
Musical,1982,41,54,4
Jazz,1982,41,24,5
Classical,1982,41,52,5
Musical,1982,41,52,5
Art Museum,1982,41,52,5
Classical,1982,41,26,5
Musical,1982,41,26,5
Play,1982,41,26,5
Ballet,1982,41,26,5
Art Museum,1982,41,26,5
Jazz,1982,41,19,4
Classical,1982,41,19,4
Musical,1982,41,19,4
Musical,1982,41,29,6
Art Museum,1982,41,29,6
Musical,1982,41,27,3
Play,1982,41,27,3
Art Museum,1982,41,39,3
Musical,1982,41,37,3
Musical,1982,7,53,2
Play,1982,7,53,2
Musical,1982,7,48,3
Art Museum,1982,7,48,3
Jazz,1982,7,20,3
Classical,1982,7,20,3
Musical,1982,7,20,3
Art Museum,1982,0,59,2
Art Museum,1982,6,32,3
Musical,1982,24,59,3
Art Museum,1982,0,38,3
Classical,1982,0,38,4
Musical,1982,0,38,4
Art Museum,1982,0,34,3
Jazz,1982,40,54,3
Musical,1982,40,54,3
Opera,1982,41,71,4
Musical,1982,41,71,4
Play,1982,41,71,4
Art Museum,1982,41,71,4
Classical,1982,41,68,3
Opera,1982,41,68,3
Musical,1982,41,68,3
Play,1982,41,68,3
Ballet,1982,41,68,3
Classical,1982,6,37,6
Musical,1982,6,37,6
Classical,1982,24,75,4
Musical,1982,24,75,4
Play,1982,24,75,4
Art Museum,1982,24,75,4
Classical,1982,25,69,4
Jazz,1982,41,23,4
Art Museum,1982,41,23,4
Jazz,1982,41,33,3
Jazz,1982,41,30,3
Musical,1982,0,21,4
Play,1982,0,21,4
Ballet,1982,0,21,4
Art Museum,1982,0,21,4
Art Museum,1982,0,26,3
Jazz,1982,0,24,4
Musical,1982,41,57,3
Jazz,1982,41,21,4
Art Museum,1982,41,21,4
Musical,1982,41,59,5
Classical,1982,41,26,5
Musical,1982,41,26,5
Play,1982,41,26,5
Art Museum,1982,41,26,5
Musical,1982,41,20,4
Opera,1982,0,62,3
Musical,1982,0,62,3
Play,1982,0,62,3
Opera,1982,0,72,3
Musical,1982,0,72,3
Play,1982,0,72,3
Jazz,1982,0,28,4
Play,1982,0,28,4
Jazz,1982,0,25,4
Play,1982,0,25,4
Play,1982,6,41,3
Art Museum,1982,6,41,3
Jazz,1982,6,19,2
Classical,1982,6,35,6
Musical,1982,6,35,6
Play,1982,6,35,6
Art Museum,1982,6,35,6
Play,1982,7,62,3
Play,1982,7,56,3
Musical,1982,23,79,1
Musical,1982,23,78,1
Musical,1982,41,58,3
Art Museum,1982,41,58,3
Musical,1982,41,44,4
Classical,1982,41,23,5
Musical,1982,41,23,5
Play,1982,41,22,4
Art Museum,1982,41,22,4
Musical,1982,40,58,2
Classical,1982,25,76,2
Classical,1982,25,71,3
Art Museum,1982,41,34,4
Art Museum,1982,41,32,3
Musical,1982,0,39,4
Play,1982,0,39,4
Art Museum,1982,0,18,4
Art Museum,1982,7,24,4
Musical,1982,7,30,4
Ballet,1982,7,30,4
Art Museum,1982,7,30,4
Classical,1982,6,47,3
Opera,1982,6,47,3
Musical,1982,6,47,3
Play,1982,6,47,3
Ballet,1982,6,47,3
Art Museum,1982,6,47,3
Musical,1982,6,24,5
Art Museum,1982,17,39,6
Art Museum,1982,0,32,3
Musical,1982,41,50,6
Play,1982,41,50,6
Art Museum,1982,41,50,6
Musical,1982,41,47,6
Play,1982,41,47,6
Art Museum,1982,41,47,6
Musical,1982,7,52,2
Play,1982,7,52,2
Musical,1982,25,38,5
Musical,1982,25,39,3
Musical,1982,21,68,5
Musical,1982,22,78,4
Play,1982,22,78,4
Art Museum,1982,22,78,4
Musical,1982,22,77,3
Play,1982,22,77,3
Musical,1982,21,36,2
Play,1982,41,34,3
Art Museum,1982,41,34,3
Classical,1982,41,34,6
Musical,1982,41,34,6
Play,1982,41,34,6
Art Museum,1982,41,34,6
Art Museum,1982,6,21,3
Classical,1982,40,67,3
Opera,1982,40,67,3
Play,1982,40,67,3
Art Museum,1982,40,67,3
Classical,1982,40,68,3
Play,1982,40,68,3
Art Museum,1982,40,68,3
Jazz,1982,6,21,5
Musical,1982,6,21,5
Play,1982,6,21,5
Classical,1982,41,46,4
Art Museum,1982,41,46,4
Art Museum,1982,41,22,3
Jazz,1982,41,20,4
Art Museum,1982,41,20,4
Art Museum,1982,41,18,4
Art Museum,1982,6,51,3
Play,1982,22,77,3
Jazz,1982,7,46,4
Art Museum,1982,7,46,4
Jazz,1982,7,41,4
Art Museum,1982,7,41,4
Jazz,1982,7,19,3
Art Museum,1982,7,19,3
Art Museum,1982,7,19,4
Classical,1982,0,36,1
Musical,1982,0,36,1
Art Museum,1982,0,36,1
Play,1982,0,29,1
Play,1982,41,40,5
Art Museum,1982,41,39,5
Musical,1982,0,37,5
Play,1982,0,37,5
Musical,1982,0,36,5
Play,1982,0,36,5
Art Museum,1982,0,36,5
Play,1982,17,48,4
Art Museum,1982,17,48,4
Art Museum,1982,17,45,3
Jazz,1982,17,18,4
Classical,1982,17,60,4
Musical,1982,17,60,4
Play,1982,17,60,4
Art Museum,1982,17,60,4
Classical,1982,17,60,4
Musical,1982,17,60,4
Play,1982,17,60,4
Ballet,1982,17,60,4
Art Museum,1982,17,60,4
Art Museum,1982,6,21,4
Art Museum,1982,40,38,4
Art Museum,1982,40,32,3
Jazz,1982,24,75,3
Musical,1982,41,50,6
Play,1982,41,50,6
Art Museum,1982,41,50,6
Classical,1982,41,53,4
Musical,1982,41,53,4
Play,1982,41,53,4
Musical,1982,17,36,6
Play,1982,17,36,6
Art Museum,1982,17,36,6
Classical,1982,17,34,5
Musical,1982,17,34,5
Art Museum,1982,17,34,5
Classical,1982,41,38,5
Musical,1982,41,38,5
Play,1982,41,38,5
Art Museum,1982,41,38,5
Classical,1982,41,38,6
Musical,1982,41,38,6
Play,1982,41,38,6
Classical,1982,17,45,6
Opera,1982,17,45,6
Play,1982,17,45,6
Art Museum,1982,17,45,6
Jazz,1982,17,43,6
Classical,1982,17,43,6
Opera,1982,17,43,6
Play,1982,17,43,6
Art Museum,1982,17,43,6
Classical,1982,41,43,6
Musical,1982,41,43,6
Play,1982,41,43,6
Ballet,1982,41,43,6
Art Museum,1982,41,43,6
Classical,1982,41,44,6
Play,1982,41,44,6
Art Museum,1982,41,44,6
Classical,1982,17,43,6
Opera,1982,17,43,6
Musical,1982,17,43,6
Play,1982,17,43,6
Ballet,1982,17,43,6
Art Museum,1982,17,43,6
Classical,1982,17,42,5
Opera,1982,17,42,5
Musical,1982,17,42,5
Play,1982,17,42,5
Ballet,1982,17,42,5
Art Museum,1982,17,42,5
Musical,1982,41,45,4
Classical,1982,41,43,4
Musical,1982,41,43,4
Jazz,1982,41,61,3
Play,1982,41,61,3
Art Museum,1982,41,61,3
Play,1982,41,59,4
Jazz,1982,41,20,4
Play,1982,41,20,4
Art Museum,1982,41,20,4
Art Museum,1982,3,71,1
Classical,1982,3,56,3
Opera,1982,0,61,2
Art Museum,1982,0,21,4
Musical,1982,7,42,6
Art Museum,1982,7,42,6
Musical,1982,7,45,4
Musical,1982,41,53,4
Art Museum,1982,41,53,4
Musical,1982,41,24,5
Art Museum,1982,41,24,5
Opera,1982,41,24,5
Musical,1982,41,24,5
Classical,1982,17,35,5
Musical,1982,17,35,5
Art Museum,1982,17,35,5
Classical,1982,17,29,6
Musical,1982,17,29,6
Art Museum,1982,17,29,6
Musical,1982,41,51,4
Musical,1982,41,21,5
Art Museum,1982,41,21,5
Classical,1982,41,32,6
Musical,1982,41,32,6
Classical,1982,41,26,6
Musical,1982,41,26,6
Art Museum,1982,41,26,6
Play,1982,6,20,4
Art Museum,1982,6,20,4
Art Museum,1982,23,29,4
Jazz,1982,25,28,6
Art Museum,1982,25,28,6
Jazz,1982,25,23,6
Play,1982,25,23,6
Art Museum,1982,25,23,6
Musical,1982,41,39,6
Play,1982,41,39,6
Classical,1982,41,36,6
Musical,1982,41,36,6
Play,1982,41,36,6
Musical,1982,41,19,4
Classical,1982,41,38,3
Musical,1982,41,38,3
Art Museum,1982,41,38,3
Classical,1982,41,40,3
Musical,1982,41,40,3
Art Museum,1982,41,40,3
Classical,1982,40,24,4
Classical,1982,40,21,4
Musical,1982,41,44,3
Play,1982,41,44,3
Jazz,1982,41,25,5
Classical,1982,40,33,4
Classical,1982,40,26,4
Jazz,1982,7,28,5
Art Museum,1982,7,28,5
Art Museum,1982,40,58,3
Jazz,1982,6,23,3
Art Museum,1982,0,18,3
Classical,1982,0,67,6
Musical,1982,0,67,6
Play,1982,0,67,6
Art Museum,1982,0,67,6
Classical,1982,6,40,6
Classical,1982,6,41,5
Play,1982,6,41,5
Jazz,1982,40,22,5
Art Museum,1982,40,22,5
Musical,1982,41,49,3
Play,1982,41,49,3
Art Museum,1982,41,49,3
Musical,1982,41,39,3
Play,1982,41,39,3
Art Museum,1982,40,27,4
Art Museum,1982,40,24,4
Musical,1982,41,45,3
Jazz,1982,41,23,5
Musical,1982,41,23,5
Musical,1982,41,20,3
Art Museum,1982,0,41,3
Jazz,1982,0,26,3
Classical,1982,0,26,3
Musical,1982,0,26,3
Ballet,1982,0,26,3
Art Museum,1982,0,26,3
Classical,1982,6,22,3
Art Museum,1982,6,22,3
